time,altitude,rc_ele,rc_thr,rc_rud,tx_ele,tx_thr,tx_rud,acc_X,acc_Y,acc_Z,gyro_pitch,gyro_roll,gyro_yaw
29.214558,2.05,-126,1849,-227,1313,2011,1201,793,-6,1236,15.370638603865125,-50.68175465079329,-53.27671138950066
29.215556,2.05,-126,1849,-227,1313,2011,1201,765,-48,1589,14.17560799210911,-50.124234179536394,-53.334772073618595
29.216564,2.05,-127,1849,-229,1298,2011,1178,731,-91,1980,13.092783833724269,-49.543546479390514,-53.38907908114503
29.217561,2.05,-129,1849,-232,1298,2011,1178,691,-134,2408,12.124593521827816,-48.93966497246858,-53.4393940437521
29.218562,2.05,-131,1849,-236,1298,2011,1178,646,-172,2860,11.273175165330107,-48.312595231112795,-53.48549244320439
29.219562,2.05,-132,1849,-239,1298,2011,1178,599,-204,3318,10.540365846800963,-47.66238039481841,-53.527163622591296
29.220565,2.05,-134,1849,-243,1298,2011,1178,552,-226,3771,9.927690672368183,-46.989106257354884,-53.56421074738933
29.221565,2.05,-135,1849,-245,1298,2011,1178,508,-242,4205,9.436352697481421,-46.29290597613032,-53.59645071570847
29.222567,2.05,-136,1849,-248,1298,2011,1178,468,-253,4615,9.067223808089388,-45.57396436167104,-53.62371401708202
29.223567,2.05,-137,1849,-249,1298,2011,1178,434,-258,4993,8.820836630973137,-44.832521710751,-53.64584453918936
